Date,Open,High,Low,Close,Adj Close,Volume
2015-08-10,2.000000,2.490000,1.990000,2.080000,1.729951,3016443000
2015-08-11,2.150000,2.180000,1.780000,1.800000,1.497073,740233200
2015-08-13,1.750000,1.770000,1.670000,1.720000,1.430537,229284600
2015-08-14,1.750000,1.850000,1.740000,1.770000,1.472122,419546600
2015-08-17,1.740000,1.740000,1.670000,1.690000,1.405586,103719000
2015-08-18,1.590000,1.660000,1.560000,1.570000,1.305781,86009800
2015-08-19,1.600000,1.680000,1.590000,1.630000,1.355683,91951200
2015-08-20,1.620000,1.720000,1.620000,1.680000,1.397268,88985000
2015-08-21,1.650000,1.680000,1.630000,1.630000,1.355683,39709400
2015-08-24,1.580000,1.590000,1.450000,1.450000,1.205976,66275800
2015-08-25,1.510000,1.510000,1.400000,1.500000,1.247561,52730400
2015-08-26,1.500000,1.560000,1.470000,1.510000,1.255878,56589800
2015-08-27,1.540000,1.550000,1.520000,1.520000,1.264195,19483400
2015-08-28,1.540000,1.590000,1.510000,1.510000,1.255878,49453400
2015-08-31,1.520000,1.530000,1.510000,1.510000,1.255878,7475400
2015-09-01,1.510000,1.590000,1.510000,1.520000,1.264195,36803800
2015-09-02,1.520000,1.590000,1.520000,1.580000,1.314098,31382000
2015-09-03,1.620000,1.640000,1.580000,1.600000,1.330732,56886600
2015-09-04,1.600000,1.670000,1.600000,1.600000,1.330732,47336200
2015-09-07,1.600000,1.640000,1.600000,1.610000,1.339049,13947200
2015-09-08,1.620000,1.630000,1.570000,1.610000,1.339049,13455400
2015-09-09,1.650000,1.700000,1.640000,1.650000,1.372317,73598400
2015-09-10,1.620000,1.720000,1.620000,1.700000,1.413903,69689000
2015-09-11,1.730000,1.750000,1.650000,1.650000,1.372317,69053000
2015-09-14,1.660000,1.660000,1.630000,1.630000,1.355683,17910400
2015-09-15,1.620000,1.660000,1.550000,1.550000,1.289146,28489600
2015-09-16,1.570000,1.590000,1.560000,1.570000,1.305781,7677000
2015-09-17,1.590000,1.610000,1.580000,1.590000,1.322415,11065200
2015-09-18,1.600000,1.650000,1.590000,1.620000,1.347366,22943000
2015-09-21,1.600000,1.620000,1.600000,1.610000,1.339049,5900200
2015-09-22,1.620000,1.630000,1.590000,1.590000,1.322415,11391200
2015-09-23,1.580000,1.600000,1.580000,1.590000,1.322415,4838200
2015-09-24,1.590000,1.600000,1.580000,1.580000,1.314098,5258800
2015-09-25,1.580000,1.590000,1.570000,1.580000,1.314098,4406200
